Café/Restaurant Name,Street Adress,Post Code,Numer of Chairs
Barburrito,62 The Headrow,LS1 8EQ,8
Becketts Bank (Wetherspoons),28 - 30 Park Row,LS1 5HU,6
BHS,49 Boar Lane,LS1 5EL,6
"Greggs, Briggate","Unit, 7 Central Arcade",LS1 6DX,4
Las Iguanas,3 Cloth Hall St,LS1 2HD,4
Patisserie Valerie,50A Albion Street,LS1 6AD,8
San Co Co,12 New Briggate,LS1 6NU,6
"Starbucks, Briggate",80 Briggate,LS1 6LQ,2
"Starbucks, Headrow",13 The Headrow,LS1 8EQ,8
Zizzi Restaurant,2 Cloth Hall Street,LS1 2HD,6
Cattle Grid,"Waterloo House, Assembly Street",LS2 7DB,20
Safran,81 Kirkgate,LS2 7DJ,6
Sandinista,5 Cross Belgrave Street,LS2 8JP,18
The Picture House,82 - 90 Merrion Street,LS2 8LW,20
The Wrens Hotel,61A New Briggate,LS2 8JD,20
Souvlaki restaurant and Bar,18 Great George Street,LS1 3DW,6
